participantId,Message,Time
USA_1501572806707,Page Load,2017-8-1 8:32:43
USA_1501572806707,Participant focus window undefined,2017-8-1 8:32:45
USA_1501572806707,browserTest,2017-8-1 8:32:46
USA_1501572806707,consent,2017-8-1 8:32:46
USA_1501572806707,browserTest,2017-8-1 8:33:8
USA_1501572806707,consent,2017-8-1 8:33:8
USA_1501572806707,speakerTest,2017-8-1 8:33:10
USA_1501572806707,techTest,2017-8-1 8:33:16
USA_1501572806707,Participant blur window techTest,2017-8-1 8:33:18
USA_1501572806707,Participant focus window techTest,2017-8-1 8:33:18
USA_1501572806707,micTest,2017-8-1 8:33:19
USA_1501572806707,Start recording  1,2017-8-1 8:33:20
USA_1501572806707,Stop recording  1,2017-8-1 8:33:21
USA_1501572806707,localisation,2017-8-1 8:33:24
USA_1501572806707,story1,2017-8-1 8:33:26
USA_1501572806707,Participant blur window story1,2017-8-1 8:33:47
USA_1501572806707,Participant focus window story1,2017-8-1 8:35:16
USA_1501572806707,Participant blur window story1,2017-8-1 8:37:12
USA_1501572806707,Participant focus window story1,2017-8-1 8:37:15
USA_1501572806707,Participant blur window story1,2017-8-1 8:37:17
USA_1501572806707,Participant focus window story1,2017-8-1 8:37:49
USA_1501572806707,Participant blur window story1,2017-8-1 8:37:53
USA_1501572806707,distraction1,2017-8-1 8:38:47
USA_1501572806707,Participant focus window distraction1,2017-8-1 8:38:56
USA_1501572806707,recording1,2017-8-1 8:38:58
USA_1501572806707,Start recording USA_LowP_Taka 1,2017-8-1 8:39:0
USA_1501572806707,Stop recording USA_LowP_Taka 1,2017-8-1 8:39:2
USA_1501572806707,prestory2,2017-8-1 8:39:5
USA_1501572806707,story2,2017-8-1 8:39:8
USA_1501572806707,distraction2,2017-8-1 8:40:22
USA_1501572806707,recording2,2017-8-1 8:40:33
USA_1501572806707,Start recording USA_HighP_Muki 1,2017-8-1 8:40:59
USA_1501572806707,Stop recording USA_HighP_Muki 1,2017-8-1 8:41:1
USA_1501572806707,speechEvaluation1.playAndEval,2017-8-1 8:41:4
USA_1501572806707,speechEvaluation2.playAndEval,2017-8-1 8:41:53
USA_1501572806707,demographySurvey,2017-8-1 8:41:58
USA_1501572806707,Participant blur window demographySurvey,2017-8-1 8:43:5
USA_1501572806707,Participant focus window demographySurvey,2017-8-1 8:43:7
USA_1501572806707,Participant blur window demographySurvey,2017-8-1 8:43:11
USA_1501572806707,checkUploaded,2017-8-1 8:43:23
